filename;type;mocked
/home/raphaelrsa/Documentos/CEDERJ/TCC/test-mining/repos/TEST/lombok/test/transform/src/lombok/transform/RunTransformTests.java;lombok.transform.TestSourceFiles;false
/home/raphaelrsa/Documentos/CEDERJ/TCC/test-mining/repos/TEST/lombok/test/configuration/src/lombok/core/configuration/RunConfigurationTests.java;Suite;false
/home/raphaelrsa/Documentos/CEDERJ/TCC/test-mining/repos/TEST/lombok/test/configuration/src/lombok/core/configuration/RunConfigurationTests.java;lombok.core.configuration.TestConfiguration;false
/home/raphaelrsa/Documentos/CEDERJ/TCC/test-mining/repos/TEST/lombok/test/configuration/src/lombok/core/configuration/RunConfigurationTests.java;lombok.core.configuration.RunWith;false
/home/raphaelrsa/Documentos/CEDERJ/TCC/test-mining/repos/TEST/lombok/test/configuration/src/lombok/core/configuration/RunConfigurationTests.java;lombok.core.configuration.SuiteClasses;false
/home/raphaelrsa/Documentos/CEDERJ/TCC/test-mining/repos/TEST/lombok/test/bytecode/src/lombok/bytecode/RunBytecodeTests.java;Suite;false
/home/raphaelrsa/Documentos/CEDERJ/TCC/test-mining/repos/TEST/lombok/test/bytecode/src/lombok/bytecode/RunBytecodeTests.java;lombok.bytecode.TestClassFileMetaData;false
/home/raphaelrsa/Documentos/CEDERJ/TCC/test-mining/repos/TEST/lombok/test/bytecode/src/lombok/bytecode/RunBytecodeTests.java;lombok.bytecode.SuiteClasses;false
/home/raphaelrsa/Documentos/CEDERJ/TCC/test-mining/repos/TEST/lombok/test/bytecode/src/lombok/bytecode/RunBytecodeTests.java;lombok.bytecode.TestPostCompiler;false
/home/raphaelrsa/Documentos/CEDERJ/TCC/test-mining/repos/TEST/lombok/test/bytecode/src/lombok/bytecode/RunBytecodeTests.java;lombok.bytecode.RunWith;false
/home/raphaelrsa/Documentos/CEDERJ/TCC/test-mining/repos/TEST/lombok/test/manual/delombokAntTask/src/Test.java;lombok.Builder;false
/home/raphaelrsa/Documentos/CEDERJ/TCC/test-mining/repos/TEST/lombok/test/manual/delombokAntTask/src/Test.java;lombok.Value;false
