"lang","owner","name","total_mocks","qtr_test_files","total_files_com_mocks","razao_mocks"
"Java","eclipse-vertx","vert.x","5","192","2","1.04"
"Java","lenve","vhr","0","4","0","0.0"
"Java","didi","VirtualAPK","0","4","0","0.0"
"Java","vipshop","vjtools","0","83","0","0.0"
"Java","alibaba","vlayout","0","3","0","0.0"
"Java","code4craft","webmagic","2","43","1","2.33"
"Java","xuxueli","xxl-job","1","14","1","7.14"
"Java","zaproxy","zaproxy","128","114","14","12.28"
"Java","shuzheng","zheng","0","7","0","0.0"
"Java","openzipkin","zipkin","91","124","18","14.52"
"Java","Netflix","zuul","10","46","8","17.39"
"Java","zxing","zxing","0","145","0","0.0"
